"","year","month","day","country","activity","disease"
"359",2003,8,31,"Thailand",NA,"dengue"
"360",2003,8,31,"Venezuela",0.159,"dengue"
"361",2003,9,7,"Argentina",0.019,"dengue"
"362",2003,9,7,"Bolivia",0.019,"dengue"
"363",2003,9,7,"Brazil",0.018,"dengue"
"364",2003,9,7,"India",0.143,"dengue"
"365",2003,9,7,"Indonesia",0.047,"dengue"
"366",2003,9,7,"Mexico",0.137,"dengue"
"367",2003,9,7,"Philippines",0.149,"dengue"
"368",2003,9,7,"Singapore",0.109,"dengue"
"369",2003,9,7,"Thailand",NA,"dengue"
"370",2003,9,7,"Venezuela",0.166,"dengue"
"371",2003,9,14,"Argentina",0.019,"dengue"
"372",2003,9,14,"Bolivia",0.031,"dengue"
"373",2003,9,14,"Brazil",0.034,"dengue"
"374",2003,9,14,"India",0.196,"dengue"
"375",2003,9,14,"Indonesia",0.047,"dengue"
"376",2003,9,14,"Mexico",0.165,"dengue"
"377",2003,9,14,"Philippines",0.147,"dengue"
"378",2003,9,14,"Singapore",0.113,"dengue"
"379",2003,9,14,"Thailand",NA,"dengue"
"380",2003,9,14,"Venezuela",0.175,"dengue"
"381",2003,9,21,"Argentina",0.019,"dengue"
"382",2003,9,21,"Bolivia",0.041,"dengue"
"383",2003,9,21,"Brazil",0.015,"dengue"
"384",2003,9,21,"India",0.242,"dengue"
"385",2003,9,21,"Indonesia",0.063,"dengue"
"386",2003,9,21,"Mexico",0.124,"dengue"
"387",2003,9,21,"Philippines",0.137,"dengue"
"388",2003,9,21,"Singapore",0.123,"dengue"
"389",2003,9,21,"Thailand",NA,"dengue"
"390",2003,9,21,"Venezuela",0.162,"dengue"
"391",2003,9,28,"Argentina",0.019,"dengue"
"392",2003,9,28,"Bolivia",0.049,"dengue"
"393",2003,9,28,"Brazil",0.016,"dengue"
"394",2003,9,28,"India",0.292,"dengue"
"395",2003,9,28,"Indonesia",0.054,"dengue"
"396",2003,9,28,"Mexico",0.188,"dengue"
"397",2003,9,28,"Philippines",0.123,"dengue"
"398",2003,9,28,"Singapore",0.12,"dengue"
"399",2003,9,28,"Thailand",NA,"dengue"
"400",2003,9,28,"Venezuela",0.166,"dengue"
"401",2003,10,5,"Argentina",0.019,"dengue"
"402",2003,10,5,"Bolivia",0.035,"dengue"
"403",2003,10,5,"Brazil",0.02,"dengue"
"404",2003,10,5,"India",0.565,"dengue"
"405",2003,10,5,"Indonesia",0.069,"dengue"
"406",2003,10,5,"Mexico",0.182,"dengue"
"407",2003,10,5,"Philippines",0.141,"dengue"
"408",2003,10,5,"Singapore",0.108,"dengue"
"409",2003,10,5,"Thailand",NA,"dengue"
"410",2003,10,5,"Venezuela",0.16,"dengue"
"411",2003,10,12,"Argentina",0.019,"dengue"
"412",2003,10,12,"Bolivia",0.044,"dengue"
"413",2003,10,12,"Brazil",0.041,"dengue"
"414",2003,10,12,"India",0.928,"dengue"
"415",2003,10,12,"Indonesia",0.075,"dengue"
"416",2003,10,12,"Mexico",0.16,"dengue"
"417",2003,10,12,"Philippines",0.123,"dengue"
"418",2003,10,12,"Singapore",0.108,"dengue"
"419",2003,10,12,"Thailand",NA,"dengue"
"420",2003,10,12,"Venezuela",0.192,"dengue"
"421",2003,10,19,"Argentina",0.022,"dengue"
"422",2003,10,19,"Bolivia",0.054,"dengue"
"423",2003,10,19,"Brazil",0.026,"dengue"
"424",2003,10,19,"India",0.99,"dengue"
"425",2003,10,19,"Indonesia",0.068,"dengue"
"426",2003,10,19,"Mexico",0.157,"dengue"
"427",2003,10,19,"Philippines",0.109,"dengue"
"428",2003,10,19,"Singapore",0.119,"dengue"
"429",2003,10,19,"Thailand",NA,"dengue"
"430",2003,10,19,"Venezuela",0.231,"dengue"
"431",2003,10,26,"Argentina",0.024,"dengue"
"432",2003,10,26,"Bolivia",0.035,"dengue"
"433",2003,10,26,"Brazil",0.034,"dengue"
"434",2003,10,26,"India",0.91,"dengue"
"435",2003,10,26,"Indonesia",0.076,"dengue"
"436",2003,10,26,"Mexico",0.122,"dengue"
"437",2003,10,26,"Philippines",0.103,"dengue"
"438",2003,10,26,"Singapore",0.174,"dengue"
"439",2003,10,26,"Thailand",NA,"dengue"
"440",2003,10,26,"Venezuela",0.298,"dengue"
"441",2003,11,2,"Argentina",0.029,"dengue"
"442",2003,11,2,"Bolivia",0.032,"dengue"
"443",2003,11,2,"Brazil",0.038,"dengue"
"444",2003,11,2,"India",0.679,"dengue"
"445",2003,11,2,"Indonesia",0.075,"dengue"
"446",2003,11,2,"Mexico",0.159,"dengue"
"447",2003,11,2,"Philippines",0.096,"dengue"
"448",2003,11,2,"Singapore",0.195,"dengue"
"449",2003,11,2,"Thailand",NA,"dengue"
"450",2003,11,2,"Venezuela",0.302,"dengue"
"451",2003,11,9,"Argentina",0.027,"dengue"
"452",2003,11,9,"Bolivia",0.044,"dengue"
"453",2003,11,9,"Brazil",0.038,"dengue"
"454",2003,11,9,"India",0.509,"dengue"
"455",2003,11,9,"Indonesia",0.06,"dengue"
"456",2003,11,9,"Mexico",0.132,"dengue"
"457",2003,11,9,"Philippines",0.09,"dengue"
"458",2003,11,9,"Singapore",0.157,"dengue"
"459",2003,11,9,"Thailand",NA,"dengue"
"460",2003,11,9,"Venezuela",0.262,"dengue"
"461",2003,11,16,"Argentina",0.027,"dengue"
"462",2003,11,16,"Bolivia",0.031,"dengue"
"463",2003,11,16,"Brazil",0.046,"dengue"
"464",2003,11,16,"India",0.327,"dengue"
"465",2003,11,16,"Indonesia",0.047,"dengue"
"466",2003,11,16,"Mexico",0.088,"dengue"
"467",2003,11,16,"Philippines",0.091,"dengue"
"468",2003,11,16,"Singapore",0.126,"dengue"
"469",2003,11,16,"Thailand",NA,"dengue"
"470",2003,11,16,"Venezuela",0.238,"dengue"
"471",2003,11,23,"Argentina",0.027,"dengue"
"472",2003,11,23,"Bolivia",0.03,"dengue"
"473",2003,11,23,"Brazil",0.068,"dengue"
"474",2003,11,23,"India",0.245,"dengue"
"475",2003,11,23,"Indonesia",0.055,"dengue"
"476",2003,11,23,"Mexico",0.127,"dengue"
"477",2003,11,23,"Philippines",0.088,"dengue"
"478",2003,11,23,"Singapore",0.116,"dengue"
"479",2003,11,23,"Thailand",NA,"dengue"
"480",2003,11,23,"Venezuela",0.231,"dengue"
"481",2003,11,30,"Argentina",0.027,"dengue"
"482",2003,11,30,"Bolivia",0.024,"dengue"
"483",2003,11,30,"Brazil",0.063,"dengue"
"484",2003,11,30,"India",0.178,"dengue"
"485",2003,11,30,"Indonesia",0.068,"dengue"
"486",2003,11,30,"Mexico",0.079,"dengue"
"487",2003,11,30,"Philippines",0.089,"dengue"
"488",2003,11,30,"Singapore",0.129,"dengue"
"489",2003,11,30,"Thailand",NA,"dengue"
"490",2003,11,30,"Venezuela",0.252,"dengue"
"491",2003,12,7,"Argentina",0.024,"dengue"
"492",2003,12,7,"Bolivia",0.016,"dengue"
"493",2003,12,7,"Brazil",0.06,"dengue"
"494",2003,12,7,"India",0.133,"dengue"
"495",2003,12,7,"Indonesia",0.058,"dengue"
"496",2003,12,7,"Mexico",0.083,"dengue"
"497",2003,12,7,"Philippines",0.091,"dengue"
"498",2003,12,7,"Singapore",0.112,"dengue"
"499",2003,12,7,"Thailand",NA,"dengue"
"500",2003,12,7,"Venezuela",0.286,"dengue"
"501",2003,12,14,"Argentina",0.022,"dengue"
"502",2003,12,14,"Bolivia",0.012,"dengue"
"503",2003,12,14,"Brazil",0.055,"dengue"
"504",2003,12,14,"India",0.094,"dengue"
"505",2003,12,14,"Indonesia",0.045,"dengue"
"506",2003,12,14,"Mexico",0.066,"dengue"
"507",2003,12,14,"Philippines",0.095,"dengue"
"508",2003,12,14,"Singapore",0.109,"dengue"
"509",2003,12,14,"Thailand",NA,"dengue"
"510",2003,12,14,"Venezuela",0.36,"dengue"
"511",2003,12,21,"Argentina",0.019,"dengue"
"512",2003,12,21,"Bolivia",0.011,"dengue"
"513",2003,12,21,"Brazil",0.053,"dengue"
"514",2003,12,21,"India",0.1,"dengue"
"515",2003,12,21,"Indonesia",0.055,"dengue"
"516",2003,12,21,"Mexico",0.055,"dengue"
"517",2003,12,21,"Philippines",0.098,"dengue"
"518",2003,12,21,"Singapore",0.104,"dengue"
"519",2003,12,21,"Thailand",NA,"dengue"
"520",2003,12,21,"Venezuela",0.324,"dengue"
"521",2003,12,28,"Argentina",0.019,"dengue"
"522",2003,12,28,"Bolivia",0.01,"dengue"
"523",2003,12,28,"Brazil",0.049,"dengue"
"524",2003,12,28,"India",0.087,"dengue"
"525",2003,12,28,"Indonesia",0.039,"dengue"
"526",2003,12,28,"Mexico",0.042,"dengue"
"527",2003,12,28,"Philippines",0.109,"dengue"
"528",2003,12,28,"Singapore",0.117,"dengue"
"529",2003,12,28,"Thailand",NA,"dengue"
"530",2003,12,28,"Venezuela",0.321,"dengue"
"531",2004,1,4,"Argentina",0.019,"dengue"
"532",2004,1,4,"Bolivia",0.01,"dengue"
"533",2004,1,4,"Brazil",0.085,"dengue"
"534",2004,1,4,"India",0.07,"dengue"
"535",2004,1,4,"Indonesia",0.065,"dengue"
"536",2004,1,4,"Mexico",0.041,"dengue"
"537",2004,1,4,"Philippines",0.105,"dengue"
"538",2004,1,4,"Singapore",0.115,"dengue"
"539",2004,1,4,"Thailand",NA,"dengue"
