"","year","month","day","country","activity","disease"
"417",2003,4,6,"Germany",NA,"flu"
"418",2003,4,6,"Hungary",NA,"flu"
"419",2003,4,6,"Japan",NA,"flu"
"420",2003,4,6,"Mexico",NA,"flu"
"421",2003,4,6,"Netherlands",NA,"flu"
"422",2003,4,6,"New.Zealand",NA,"flu"
"423",2003,4,6,"Norway",NA,"flu"
"424",2003,4,6,"Paraguay",NA,"flu"
"425",2003,4,6,"Peru",401,"flu"
"426",2003,4,6,"Poland",NA,"flu"
"427",2003,4,6,"Romania",777,"flu"
"428",2003,4,6,"Russia",NA,"flu"
"429",2003,4,6,"South.Africa",NA,"flu"
"430",2003,4,6,"Spain",NA,"flu"
"431",2003,4,6,"Sweden",NA,"flu"
"432",2003,4,6,"Switzerland",NA,"flu"
"433",2003,4,6,"Ukraine",NA,"flu"
"434",2003,4,6,"United.States",NA,"flu"
"435",2003,4,6,"Uruguay",110,"flu"
"436",2003,4,13,"Argentina",193,"flu"
"437",2003,4,13,"Australia",NA,"flu"
"438",2003,4,13,"Austria",NA,"flu"
"439",2003,4,13,"Belgium",NA,"flu"
"440",2003,4,13,"Bolivia",580,"flu"
"441",2003,4,13,"Brazil",259,"flu"
"442",2003,4,13,"Bulgaria",NA,"flu"
"443",2003,4,13,"Canada",NA,"flu"
"444",2003,4,13,"Chile",1,"flu"
"445",2003,4,13,"France",NA,"flu"
"446",2003,4,13,"Germany",NA,"flu"
"447",2003,4,13,"Hungary",NA,"flu"
"448",2003,4,13,"Japan",NA,"flu"
"449",2003,4,13,"Mexico",NA,"flu"
"450",2003,4,13,"Netherlands",NA,"flu"
"451",2003,4,13,"New.Zealand",NA,"flu"
"452",2003,4,13,"Norway",NA,"flu"
"453",2003,4,13,"Paraguay",NA,"flu"
"454",2003,4,13,"Peru",508,"flu"
"455",2003,4,13,"Poland",NA,"flu"
"456",2003,4,13,"Romania",757,"flu"
"457",2003,4,13,"Russia",NA,"flu"
"458",2003,4,13,"South.Africa",NA,"flu"
"459",2003,4,13,"Spain",NA,"flu"
"460",2003,4,13,"Sweden",NA,"flu"
"461",2003,4,13,"Switzerland",NA,"flu"
"462",2003,4,13,"Ukraine",NA,"flu"
"463",2003,4,13,"United.States",NA,"flu"
"464",2003,4,13,"Uruguay",111,"flu"
"465",2003,4,20,"Argentina",186,"flu"
"466",2003,4,20,"Australia",NA,"flu"
"467",2003,4,20,"Austria",NA,"flu"
"468",2003,4,20,"Belgium",NA,"flu"
"469",2003,4,20,"Bolivia",537,"flu"
"470",2003,4,20,"Brazil",287,"flu"
"471",2003,4,20,"Bulgaria",NA,"flu"
"472",2003,4,20,"Canada",NA,"flu"
"473",2003,4,20,"Chile",1,"flu"
"474",2003,4,20,"France",NA,"flu"
"475",2003,4,20,"Germany",NA,"flu"
"476",2003,4,20,"Hungary",NA,"flu"
"477",2003,4,20,"Japan",NA,"flu"
"478",2003,4,20,"Mexico",NA,"flu"
"479",2003,4,20,"Netherlands",NA,"flu"
"480",2003,4,20,"New.Zealand",NA,"flu"
"481",2003,4,20,"Norway",NA,"flu"
"482",2003,4,20,"Paraguay",NA,"flu"
"483",2003,4,20,"Peru",527,"flu"
"484",2003,4,20,"Poland",NA,"flu"
"485",2003,4,20,"Romania",726,"flu"
"486",2003,4,20,"Russia",NA,"flu"
"487",2003,4,20,"South.Africa",NA,"flu"
"488",2003,4,20,"Spain",NA,"flu"
"489",2003,4,20,"Sweden",NA,"flu"
"490",2003,4,20,"Switzerland",NA,"flu"
"491",2003,4,20,"Ukraine",NA,"flu"
"492",2003,4,20,"United.States",NA,"flu"
"493",2003,4,20,"Uruguay",106,"flu"
"494",2003,4,27,"Argentina",209,"flu"
"495",2003,4,27,"Australia",NA,"flu"
"496",2003,4,27,"Austria",NA,"flu"
"497",2003,4,27,"Belgium",NA,"flu"
"498",2003,4,27,"Bolivia",525,"flu"
"499",2003,4,27,"Brazil",299,"flu"
"500",2003,4,27,"Bulgaria",NA,"flu"
"501",2003,4,27,"Canada",NA,"flu"
"502",2003,4,27,"Chile",2,"flu"
"503",2003,4,27,"France",NA,"flu"
"504",2003,4,27,"Germany",NA,"flu"
"505",2003,4,27,"Hungary",NA,"flu"
"506",2003,4,27,"Japan",NA,"flu"
"507",2003,4,27,"Mexico",NA,"flu"
"508",2003,4,27,"Netherlands",NA,"flu"
"509",2003,4,27,"New.Zealand",NA,"flu"
"510",2003,4,27,"Norway",NA,"flu"
"511",2003,4,27,"Paraguay",NA,"flu"
"512",2003,4,27,"Peru",567,"flu"
"513",2003,4,27,"Poland",NA,"flu"
"514",2003,4,27,"Romania",703,"flu"
"515",2003,4,27,"Russia",NA,"flu"
"516",2003,4,27,"South.Africa",NA,"flu"
"517",2003,4,27,"Spain",NA,"flu"
"518",2003,4,27,"Sweden",NA,"flu"
"519",2003,4,27,"Switzerland",NA,"flu"
"520",2003,4,27,"Ukraine",NA,"flu"
"521",2003,4,27,"United.States",NA,"flu"
"522",2003,4,27,"Uruguay",104,"flu"
"523",2003,5,4,"Argentina",239,"flu"
"524",2003,5,4,"Australia",NA,"flu"
"525",2003,5,4,"Austria",NA,"flu"
"526",2003,5,4,"Belgium",NA,"flu"
"527",2003,5,4,"Bolivia",493,"flu"
"528",2003,5,4,"Brazil",319,"flu"
"529",2003,5,4,"Bulgaria",NA,"flu"
"530",2003,5,4,"Canada",NA,"flu"
"531",2003,5,4,"Chile",4,"flu"
"532",2003,5,4,"France",NA,"flu"
"533",2003,5,4,"Germany",NA,"flu"
"534",2003,5,4,"Hungary",NA,"flu"
"535",2003,5,4,"Japan",NA,"flu"
"536",2003,5,4,"Mexico",NA,"flu"
"537",2003,5,4,"Netherlands",NA,"flu"
"538",2003,5,4,"New.Zealand",NA,"flu"
"539",2003,5,4,"Norway",NA,"flu"
"540",2003,5,4,"Paraguay",NA,"flu"
"541",2003,5,4,"Peru",494,"flu"
"542",2003,5,4,"Poland",NA,"flu"
"543",2003,5,4,"Romania",655,"flu"
"544",2003,5,4,"Russia",NA,"flu"
"545",2003,5,4,"South.Africa",NA,"flu"
"546",2003,5,4,"Spain",NA,"flu"
"547",2003,5,4,"Sweden",NA,"flu"
"548",2003,5,4,"Switzerland",NA,"flu"
"549",2003,5,4,"Ukraine",NA,"flu"
"550",2003,5,4,"United.States",NA,"flu"
"551",2003,5,4,"Uruguay",116,"flu"
"552",2003,5,11,"Argentina",241,"flu"
"553",2003,5,11,"Australia",NA,"flu"
"554",2003,5,11,"Austria",NA,"flu"
"555",2003,5,11,"Belgium",NA,"flu"
"556",2003,5,11,"Bolivia",560,"flu"
